Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2026-01-21,"""Aerobics, general""",Cardio,517.0,41,,,,,
2026-01-22,"""Aerobics, general""",Cardio,417.0,45,,,,,
2026-01-23,"""Swimming laps, freestyle, light/moderate effort""",Cardio,457.0,44,,,,,
2026-01-25,"""Aerobics, general""",Cardio,545.0,47,,,,,
2026-01-26,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,487.0,40,,,,,
2026-01-27,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,560.0,45,,,,,
2026-01-28,"""Running (jogging), 5 mph (12 min mile)""",Cardio,562.0,45,,,,,
2026-01-29,"""Aerobics, general""",Cardio,526.0,48,,,,,
2026-01-30,"""Swimming laps, freestyle, light/moderate effort""",Cardio,566.0,43,,,,,
2026-02-01,"""Aerobics, general""",Cardio,523.0,47,,,,,
2026-02-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,489.0,45,,,,,
2026-02-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,513.0,42,,,,,
2026-02-04,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,524.0,40,,,,,
2026-02-05,"""Aerobics, general""",Cardio,601.0,59,,,,,
2026-02-06,"""Swimming laps, freestyle, light/moderate effort""",Cardio,646.0,43,,,,,
2026-02-08,"""Aerobics, general""",Cardio,547.0,56,,,,,
2026-02-09,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,538.0,52,,,,,
2026-02-10,"""Running (jogging), 5.2 mph (11.5 min mile)""",Cardio,457.0,33,,,,,
2026-02-11,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,504.0,46,,,,,
2026-02-12,"""Aerobics, general""",Cardio,429.0,45,,,,,
2026-02-14,"""Swimming laps, freestyle, light/moderate effort""",Cardio,553.0,41,,,,,
2026-02-15,"""Aerobics, general""",Cardio,484.0,53,,,,,
2026-02-16,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,463.0,41,,,,,
2026-02-17,"""Running (jogging), 5.2 mph (11.5 min mile)""",Cardio,458.0,35,,,,,
2026-02-18,"""Aerobics, general""",Cardio,36.0,6,,,,,
2026-02-18,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,436.0,41,,,,,
2026-02-19,"""Aerobics, general""",Cardio,191.0,23,,,,,
2026-02-19,"""Aerobics, general""",Cardio,299.0,30,,,,,
2026-02-20,"""Swimming laps, freestyle, light/moderate effort""",Cardio,454.0,41,,,,,
2026-02-22,"""Aerobics, general""",Cardio,464.0,54,,,,,
2026-02-23,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,366.0,46,,,,,
2026-02-24,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,391.0,45,,,,,
2026-02-25,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,379.0,41,,,,,
2026-02-26,"""Aerobics, general""",Cardio,461.0,50,,,,,
2026-02-27,"""Swimming laps, freestyle, light/moderate effort""",Cardio,433.0,40,,,,,
2026-03-01,"""Aerobics, general""",Cardio,422.0,46,,,,,
2026-03-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,454.0,45,,,,,
2026-03-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,566.0,50,,,,,
2026-03-04,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,95.0,12,,,,,
2026-03-04,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,144.0,15,,,,,
2026-03-04,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,514.0,46,,,,,
2026-03-05,"""Aerobics, general""",Cardio,362.0,41,,,,,
2026-03-09,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,161.0,16,,,,,
2026-03-09,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,542.0,50,,,,,
2026-03-09,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,110.0,15,,,,,
2026-03-10,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,114.0,11,,,,,
2026-03-10,"""Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)""",Cardio,67.0,9,,,,,
2026-03-10,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,500.0,45,,,,,
2026-03-11,"""Running (jogging), 5 mph (12 min mile)""",Cardio,393.0,34,,,,,
2026-03-15,"""Aerobics, general""",Cardio,411.0,45,,,,,
2026-03-16,"""Aerobics, general""",Cardio,441.0,52,,,,,
2026-03-17,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,514.0,45,,,,,
2026-03-18,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,505.0,45,,,,,
2026-03-19,"""Aerobics, general""",Cardio,477.0,45,,,,,
2026-03-21,"""Swimming laps, freestyle, light/moderate effort""",Cardio,529.0,42,,,,,
2026-03-22,"""Aerobics, general""",Cardio,501.0,48,,,,,
2026-03-23,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,114.0,11,,,,,
2026-03-23,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,89.0,11,,,,,
2026-03-23,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,541.0,45,,,,,
2026-03-24,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,119.0,12,,,,,
2026-03-24,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,92.0,9,,,,,
2026-03-24,"""Running (jogging), 5.2 mph (11.5 min mile)""",Cardio,474.0,35,,,,,
2026-03-25,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,106.0,12,,,,,
2026-03-25,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,117.0,12,,,,,
2026-03-25,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,495.0,48,,,,,
2026-03-26,"""Aerobics, general""",Cardio,452.0,45,,,,,
2026-03-27,"""Swimming laps, freestyle, light/moderate effort""",Cardio,526.0,41,,,,,
2026-03-29,"""Aerobics, general""",Cardio,449.0,47,,,,,
2026-03-30,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,78.0,10,,,,,
2026-03-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,129.0,14,,,,,
2026-03-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,500.0,46,,,,,
2026-03-31,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,76.0,10,,,,,
2026-03-31,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,114.0,13,,,,,
2026-03-31,"""Running (jogging), 5 mph (12 min mile)""",Cardio,445.0,36,,,,,
2026-04-01,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,101.0,11,,,,,
2026-04-01,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,103.0,13,,,,,
2026-04-01,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,353.0,38,,,,,
2026-04-02,"""Aerobics, general""",Cardio,184.0,31,,,,,
2026-04-03,"""Swimming laps, freestyle, light/moderate effort""",Cardio,550.0,40,,,,,
2026-04-05,"""Aerobics, general""",Cardio,526.0,53,,,,,
