Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2025-07-28,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,419.0,35,,,,,
2025-07-29,"""Aerobics, general""",Cardio,177.0,16,,,,,
2025-07-29,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,116.0,12,,,,,
2025-07-29,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,350.0,36,,,,,
2025-07-29,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,101.0,13,,,,,
2025-07-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,146.0,13,,,,,
2025-07-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,432.0,36,,,,,
2025-07-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,125.0,12,,,,,
2025-08-01,"""Aerobics, general""",Cardio,566.0,48,,,,,
2025-08-02,"""Aerobics, general""",Cardio,524.0,41,,,,,
2025-08-04,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,114.0,11,,,,,
2025-08-04,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,120.0,11,,,,,
2025-08-04,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,505.0,40,,,,,
2025-08-05,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,102.0,12,,,,,
2025-08-05,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,104.0,10,,,,,
2025-08-05,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,410.0,35,,,,,
2025-08-06,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,95.0,10,,,,,
2025-08-06,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,183.0,17,,,,,
2025-08-06,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,463.0,35,,,,,
2025-08-07,"""Aerobics, general""",Cardio,456.0,45,,,,,
2025-08-10,"""Aerobics, general""",Cardio,497.0,48,,,,,
2025-08-11,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,132.0,11,,,,,
2025-08-11,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,121.0,11,,,,,
2025-08-11,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,351.0,35,,,,,
2025-08-12,"""Aerobics, general""",Cardio,543.0,42,,,,,
2025-08-14,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,120.0,11,,,,,
2025-08-14,"""Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)""",Cardio,104.0,9,,,,,
2025-08-14,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,429.0,35,,,,,
2025-08-17,"""Aerobics, general""",Cardio,543.0,49,,,,,
2025-08-19,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,384.0,37,,,,,
2025-08-20,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,403.0,35,,,,,
2025-08-23,"""Aerobics, general""",Cardio,557.0,50,,,,,
2025-08-25,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,112.0,11,,,,,
2025-08-25,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,475.0,35,,,,,
2025-08-25,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,152.0,14,,,,,
2025-08-26,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,102.0,10,,,,,
2025-08-26,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,180.0,20,,,,,
2025-08-26,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,571.0,41,,,,,
2025-08-27,"""Aerobics, general""",Cardio,459.0,49,,,,,
2025-08-31,"""Aerobics, general""",Cardio,526.0,43,,,,,
2025-09-02,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,110.0,10,,,,,
2025-09-02,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,119.0,10,,,,,
2025-09-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,489.0,40,,,,,
2025-09-03,"""Aerobics, general""",Cardio,561.0,44,,,,,
2025-09-04,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,127.0,11,,,,,
2025-09-04,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,121.0,10,,,,,
2025-09-04,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,502.0,35,,,,,
2025-09-04,"""Running (jogging), 5.2 mph (11.5 min mile)""",Cardio,77.0,5,,,,,
2025-09-05,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,125.0,11,,,,,
2025-09-05,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,136.0,10,,,,,
2025-09-05,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,477.0,35,,,,,
2025-09-06,"""Aerobics, general""",Cardio,479.0,46,,,,,
2025-09-08,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,200.0,21,,,,,
2025-09-08,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,486.0,35,,,,,
2025-09-08,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,146.0,13,,,,,
2025-09-09,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,134.0,11,,,,,
2025-09-09,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,113.0,11,,,,,
2025-09-09,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,467.0,35,,,,,
2025-09-10,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,114.0,11,,,,,
2025-09-10,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,109.0,11,,,,,
2025-09-10,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,486.0,35,,,,,
2025-09-16,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,133.0,12,,,,,
2025-09-16,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,122.0,12,,,,,
2025-09-17,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,102.0,11,,,,,
2025-09-17,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,226.0,34,,,,,
2025-09-22,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,109.0,11,,,,,
2025-09-22,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,140.0,16,,,,,
2025-09-23,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,125.0,11,,,,,
2025-09-23,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,98.0,10,,,,,
2025-09-23,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,413.0,35,,,,,
2025-09-24,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,133.0,13,,,,,
2025-09-24,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,110.0,11,,,,,
2025-09-26,"""Aerobics, general""",Cardio,432.0,38,,,,,
2025-09-27,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,118.0,13,,,,,
2025-09-28,"""Aerobics, general""",Cardio,399.0,39,,,,,
2025-09-29,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,102.0,10,,,,,
2025-09-29,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,147.0,18,,,,,
2025-09-29,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,518.0,40,,,,,
2025-09-30,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,117.0,12,,,,,
2025-09-30,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,104.0,10,,,,,
2025-09-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,550.0,40,,,,,
2025-10-01,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,106.0,11,,,,,
2025-10-01,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,134.0,10,,,,,
2025-10-01,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,558.0,40,,,,,
2025-10-02,"""Aerobics, general""",Cardio,431.0,42,,,,,
2025-10-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,43.0,3,,,,,
2025-10-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,23.0,3,,,,,
2025-10-03,"""Swimming laps, freestyle, light/moderate effort""",Cardio,335.0,34,,,,,
2025-10-04,"""Aerobics, general""",Cardio,571.0,46,,,,,
2025-10-06,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,132.0,11,,,,,
2025-10-06,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,153.0,16,,,,,
2025-10-06,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,584.0,40,,,,,
2025-10-08,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,124.0,11,,,,,
2025-10-08,"""Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)""",Cardio,98.0,10,,,,,
2025-10-08,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,610.0,45,,,,,
2025-10-09,"""Aerobics, general""",Cardio,482.0,46,,,,,
2025-10-10,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,74.0,5,,,,,
2025-10-10,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,29.0,3,,,,,
2025-10-10,"""Swimming laps, freestyle, light/moderate effort""",Cardio,340.0,35,,,,,
2025-10-11,"""Aerobics, general""",Cardio,439.0,40,,,,,
2025-10-12,"""Aerobics, general""",Cardio,439.0,40,,,,,
2025-10-13,"""Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)""",Cardio,700.0,60,,,,,
2025-10-14,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,102.0,10,,,,,
2025-10-14,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,106.0,11,,,,,
2025-10-14,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,488.0,36,,,,,
2025-10-15,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,127.0,12,,,,,
2025-10-15,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,105.0,11,,,,,
2025-10-15,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,510.0,40,,,,,
2025-10-16,"""Aerobics, general""",Cardio,565.0,48,,,,,
2025-10-17,"""Swimming laps, freestyle, light/moderate effort""",Cardio,463.0,30,,,,,
2025-10-18,"""Aerobics, general""",Cardio,557.0,52,,,,,
2025-10-19,"""Aerobics, general""",Cardio,480.0,49,,,,,
2025-10-20,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,116.0,11,,,,,
2025-10-20,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,108.0,11,,,,,
2025-10-20,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,610.0,45,,,,,
2025-10-21,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,121.0,10,,,,,
2025-10-21,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,114.0,13,,,,,
2025-10-21,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,532.0,40,,,,,
2025-10-22,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,103.0,11,,,,,
2025-10-22,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,126.0,12,,,,,
2025-10-22,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,403.0,36,,,,,
2025-10-23,"""Aerobics, general""",Cardio,467.0,52,,,,,
2025-10-24,"""Swimming laps, freestyle, light/moderate effort""",Cardio,475.0,44,,,,,
2025-10-26,"""Aerobics, general""",Cardio,603.0,50,,,,,
2025-10-26,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,63.0,7,,,,,
2025-10-26,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,56.0,6,,,,,
2025-10-27,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,108.0,10,,,,,
2025-10-27,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,109.0,13,,,,,
2025-10-27,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,537.0,43,,,,,
2025-10-28,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,111.0,11,,,,,
2025-10-28,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,116.0,12,,,,,
2025-10-28,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,495.0,42,,,,,
2025-10-29,"""Aerobics, general""",Cardio,514.0,49,,,,,
2025-10-30,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,118.0,11,,,,,
2025-10-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,122.0,12,,,,,
2025-10-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,507.0,40,,,,,
2025-10-31,"""Swimming laps, freestyle, light/moderate effort""",Cardio,465.0,35,,,,,
2025-11-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,159.0,18,,,,,
2025-11-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,492.0,41,,,,,
2025-11-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,116.0,13,,,,,
2025-11-04,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,140.0,13,,,,,
2025-11-04,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,105.0,9,,,,,
2025-11-04,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,580.0,47,,,,,
2025-11-05,"""Aerobics, general""",Cardio,519.0,54,,,,,
2025-11-06,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,99.0,9,,,,,
2025-11-06,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,81.0,11,,,,,
2025-11-06,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,526.0,42,,,,,
2025-11-07,"""Swimming laps, freestyle, light/moderate effort""",Cardio,629.0,44,,,,,
2025-11-09,"""Aerobics, general""",Cardio,553.0,54,,,,,
2025-11-10,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,126.0,10,,,,,
