Date,Weight
2026-01-24,219.0
2026-02-08,218.0
2026-03-09,213.6
2026-03-20,210.0
2026-03-21,209.8
2026-03-23,210.6
2026-03-25,209.6
2026-03-26,209.4
2026-03-27,207.6
2026-03-29,209.2
2026-03-31,209.4
2026-04-01,211.0
2026-04-02,209.8
2026-04-03,208.8
2026-04-04,209.0
